Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
TKM,7.64,NA,NA,NA,NA,NA,4.135384615384616,3.25,0,0,31.8,NA,NA,NA,NA,NA,53.12,3.3,0,0
TLS,8.8,0,0,0,1.0618400000000001,0.2159999999999993,3.4861538461538455,8.75,0,0,26,0.137862383363397,-78.46153846153847,-23.157292008084955,26.546,0.108,57.34,5.5,0,0
TON,8.98,NA,NA,NA,NA,NA,7.692307692307692,5,0,0,25.1,NA,NA,NA,NA,NA,30,4,0,0
TTO,6.68,0.27839277991782474,0,0,5.67552,8.166,2.515384615384616,4.5,0,0,36.6,0.211453100745379,-41.78873994482063,-8.660688369164255,141.888,4.083,63.65,3.8,0,0
TUN,7.26,4.587751579964704,3.4586548849287357,0.9647024715940979,10,10,1.1538461538461533,4.25,0,0,33.7,0.499963740765721,51.87982327393104,14.470537073911474,451.926,12.909,72.5,3.7,0,0
TUR,3.5199999999999996,4.442747995571268,0,2.249305894364829,3.6699599999999997,1.1579999999999995,1.6338461538461537,4.75,0,0,52.4,0.49025578213899,-2.7920793970713267,33.73958841547245,91.749,0.579,69.38,3.9,0,0
TUV,9.68,NA,NA,NA,NA,NA,NA,7.749999999999999,0,0,21.6,NA,NA,NA,NA,NA,NA,5.1,0,0
TZA,6.720000000000001,6.144185670888399,6.666666666674814e-4,6.666666666674814e-4,0,0,9.663076923076924,9,0,0,36.4,0.604166666666667,0.01,0.01,0,0,17.19,5.6,0,0
UGA,5.140000000000001,2.953711967251463,0,0,0.3108000000000004,1.3859999999999992,1.3938461538461553,10,0,0,44.3,0.390565141958548,-66.2770534788364,-40.160205031051724,7.77,0.693,70.94,6.1,0,0
UKR,6.4,6.65266286142438,0,0.22824649409516695,0.9637600000000006,1.17,3.846153846153846,5,0,0,38,0.63820910464507,-28.42216587454288,3.423697411427487,24.094,0.585,55,4,0,0
URY,5.74,7.344447224937058,0,0,3.14032,4.194,3.253846153846154,3,0,0,41.3,0.684523918224978,-60.10253631494488,-65.07126945147243,78.508,2.097,58.85,3.2,0,0
USA,0,6.752068937402016,0.6426669584564326,8.993530191548388,4.826480000000001,1.4860000000000007,2.7723076923076926,1.25,10,0,83.5,0.644864319941115,9.640004376846488,134.90295287322581,120.662,0.743,61.98,2.5,10,0
UZB,7.140000000000001,3.699211738539695,2.834834834834835,0.4906620366875529,0.6692800000000005,0.2400000000000002,3.4461538461538455,5.249999999999999,0,0,34.3,0.440476190476264,42.52252252252252,7.359930550313281,16.732,0.12,57.6,4.1,0,0
VCT,7.4,NA,6.666666666674814e-4,6.666666666674814e-4,0.8755600000000001,0,NA,5.249999999999999,0,0,33,NA,0.01,0.01,21.889,0,NA,4.1,0,0
VEN,9.4,5.3991354325941625,0,0,1.5366800000000005,0.9939999999999998,1.2984615384615381,6.000000000000001,0,0,23,0.554285714285714,-18.987799195488662,-8.370214438709011,38.417,0.497,71.56,4.4,0,0
VNM,4.18,0,10,10,1.93168,0.6799999999999997,2.235384615384616,4.5,0,0,49.1,0.112473901710766,789.8442946781315,375.8159546698197,48.292,0.34,65.47,3.8,0,0
VUT,8.78,0,6.666666666674814e-4,6.666666666674814e-4,0,0,8.526153846153846,8.25,0,0,26.1,0.163576669077683,0.01,0.01,0,0,24.58,5.3,0,0
WSM,8.72,NA,NA,NA,0,0,NA,3.25,0,0,26.4,NA,NA,NA,0,0,NA,3.3,0,0
YEM,10,4.354464752408341,0,7.444263989369556,0.006319999999998771,0.04800000000000004,6.683076923076923,10,0,0,18.5,0.484345238095238,-28.67591424968474,111.66395984054334,0.158,0.024,36.56,6.4,0,0
ZAF,3.040000000000001,6.130982664891692,1.5651974897334462,0,8.7356,10,1.7153846153846164,6.75,0,0,54.8,0.603282728269553,23.477962346001704,-19.794600905565463,218.39,6.255,68.85,4.7,0,0
ZMB,8.26,7.588284696421008,0,0,2.4941200000000006,3.3100000000000005,7.547692307692308,10,0,0,28.7,0.700848784225463,-35.408848577165415,-34.60717064218862,62.353,1.655,30.94,6.1,0,0
ZWE,6.359999999999999,3.157170625612288,10,4.746549666237099,5.66664,9.17,4.0538461538461545,8.25,0,0,38.2,0.404186655149959,162.51031703212485,71.19824499355649,141.666,4.585,53.65,5.3,0,0
