"","Index","Record_ID","Prior Record_ID","Countryname","Country","Outlook","Date","Prior Date","Count","Prior Count","Flag Change"
"235",4057,112737,73217,"Iran","IRN","Overall",2021-07-22,2021-07-21,3,3,0
"236",4064,112744,73224,"Iran","IRN","Underlying",2021-07-22,2021-07-21,1.5,1.5,0
"237",4078,112758,73238,"Iran","IRN","Emerging",2021-07-22,2021-07-21,3,3,0
"238",4109,112789,73269,"Iraq","IRQ","Overall",2021-07-22,2021-07-21,3,3,0
"239",4116,112796,73276,"Iraq","IRQ","Underlying",2021-07-22,2021-07-21,2.5,2.5,0
"240",4130,112810,73290,"Iraq","IRQ","Emerging",2021-07-22,2021-07-21,2,2,0
"241",4161,112841,73321,"Iceland","ISL","Overall",2021-07-22,2021-07-21,0,0,0
"242",4168,112848,73328,"Iceland","ISL","Underlying",2021-07-22,2021-07-21,0,0,0
"243",4182,112862,73342,"Iceland","ISL","Emerging",2021-07-22,2021-07-21,0.5,0.5,0
"244",4213,112893,73373,"Israel","ISR","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"245",4220,112900,73380,"Israel","ISR","Underlying",2021-07-22,2021-07-21,0,0,0
"246",4234,112914,73394,"Israel","ISR","Emerging",2021-07-22,2021-07-21,2.5,2.5,0
"247",4265,112945,73425,"Italy","ITA","Overall",2021-07-22,2021-07-21,1,1,0
"248",4272,112952,73432,"Italy","ITA","Underlying",2021-07-22,2021-07-21,0,0,0
"249",4286,112966,73446,"Italy","ITA","Emerging",2021-07-22,2021-07-21,2.5,2.5,0
"250",4317,112997,73477,"Jamaica","JAM","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"251",4324,113004,73484,"Jamaica","JAM","Underlying",2021-07-22,2021-07-21,1,1,0
"252",4338,113018,73498,"Jamaica","JAM","Emerging",2021-07-22,2021-07-21,0,0,0
"253",4369,113049,73529,"Jordan","JOR","Overall",2021-07-22,2021-07-21,2,2,0
"254",4376,113056,73536,"Jordan","JOR","Underlying",2021-07-22,2021-07-21,0,0,0
"255",4390,113070,73550,"Jordan","JOR","Emerging",2021-07-22,2021-07-21,2,2,0
"256",4421,113101,73581,"Japan","JPN","Overall",2021-07-22,2021-07-21,0,0,0
"257",4428,113108,73588,"Japan","JPN","Underlying",2021-07-22,2021-07-21,1,1,0
"258",4442,113122,73602,"Japan","JPN","Emerging",2021-07-22,2021-07-21,0,0,0
"259",4473,113153,73633,"Kazakhstan","KAZ","Overall",2021-07-22,2021-07-21,2,2,0
"260",4480,113160,73640,"Kazakhstan","KAZ","Underlying",2021-07-22,2021-07-21,0,0,0
"261",4494,113174,73654,"Kazakhstan","KAZ","Emerging",2021-07-22,2021-07-21,2,2,0
"262",4525,113205,73685,"Kenya","KEN","Overall",2021-07-22,2021-07-21,5,5,0
"263",4532,113212,73692,"Kenya","KEN","Underlying",2021-07-22,2021-07-21,2.5,2.5,0
"264",4546,113226,73706,"Kenya","KEN","Emerging",2021-07-22,2021-07-21,5,5,0
"265",4577,113257,73737,"Kyrgyzstan","KGZ","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"266",4584,113264,73744,"Kyrgyzstan","KGZ","Underlying",2021-07-22,2021-07-21,0,0,0
"267",4598,113278,73758,"Kyrgyzstan","KGZ","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"268",4629,113309,73789,"Cambodia","KHM","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"269",4636,113316,73796,"Cambodia","KHM","Underlying",2021-07-22,2021-07-21,2,2,0
"270",4650,113330,73810,"Cambodia","KHM","Emerging",2021-07-22,2021-07-21,1,1,0
"271",4681,113361,73841,"Kiribati","KIR","Overall",2021-07-22,2021-07-21,1.5,1.5,0
"272",4688,113368,73848,"Kiribati","KIR","Underlying",2021-07-22,2021-07-21,2.5,2.5,0
"273",4702,113382,73862,"Kiribati","KIR","Emerging",2021-07-22,2021-07-21,1,1,0
"274",4733,113413,73893,"Saint Kitts and Nevis","KNA","Overall",2021-07-22,2021-07-21,0,0,0
"275",4740,113420,73900,"Saint Kitts and Nevis","KNA","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"276",4754,113434,73914,"Saint Kitts and Nevis","KNA","Emerging",2021-07-22,2021-07-21,0,0,0
"277",4785,113465,73945,"Korea Republic of","KOR","Overall",2021-07-22,2021-07-21,1,1,0
"278",4792,113472,73952,"Korea Republic of","KOR","Underlying",2021-07-22,2021-07-21,1.5,1.5,0
"279",4806,113486,73966,"Korea Republic of","KOR","Emerging",2021-07-22,2021-07-21,0,0,0
